订单顺序编号,订单号,用户名,商品编号,订单金额,付款金额,渠道编号,平台类型,下单时间,付款时间,是否退款,优惠金额,支付耗时_秒,下单日期,下单小时,星期几
624,sys-2025-325319335,user-139946,PR000358,2347.67,2266.26,渠道1,APP,2025-01-02 22:40:11,2025-01-02 22:41:46,否,81.40999999999985,95.0,2025-01-02,22,Thursday
641,sys-2025-348057634,user-195438,PR000398,944.91,944.91,渠道1,APP,2025-01-02 23:44:18,2025-01-02 23:44:58,否,0.0,40.0,2025-01-02,23,Thursday
643,sys-2025-349016106,user-162126,PR000706,462.68,445.08,渠道1,APP,2025-01-02 23:46:34,2025-01-02 23:46:53,否,17.600000000000023,19.0,2025-01-02,23,Thursday
659,sys-2025-364462961,user-139661,PR000064,391.99,388.75,渠道1,微信公众号,2025-01-03 09:49:53,2025-01-03 09:50:03,否,3.240000000000009,10.0,2025-01-03,9,Friday
686,sys-2025-274937028,user-177293,PR000871,676.88,597.25,渠道1,APP,2025-01-03 11:32:02,2025-01-03 11:32:59,否,79.63,57.0,2025-01-03,11,Friday
693,sys-2025-321055161,user-282265,PR000673,1338.27,1197.2,渠道1,微信公众号,2025-01-03 11:55:49,2025-01-03 11:56:16,否,141.06999999999994,27.0,2025-01-03,11,Friday
705,sys-2025-309554592,user-241245,PR000299,156.5,98.58,渠道1,微信公众号,2025-01-03 12:08:03,2025-01-03 12:08:56,否,57.92,53.0,2025-01-03,12,Friday
719,sys-2025-389242589,user-145696,PR000345,437.98,428.46,渠道1,APP,2025-01-03 12:26:56,2025-01-03 12:27:11,否,9.520000000000039,15.0,2025-01-03,12,Friday
743,sys-2025-292240406,user-136474,PR000697,718.23,718.23,渠道1,微信公众号,2025-01-03 12:53:20,2025-01-03 12:53:43,否,0.0,23.0,2025-01-03,12,Friday
745,sys-2025-300021420,user-238039,PR000356,379.5,379.5,渠道1,APP,2025-01-03 12:57:50,2025-01-03 12:58:06,否,0.0,16.0,2025-01-03,12,Friday
750,sys-2025-352122613,user-256443,PR000558,674.97,629.64,渠道1,APP,2025-01-03 13:07:20,2025-01-03 13:07:36,否,45.33000000000004,16.0,2025-01-03,13,Friday
752,sys-2025-271656125,user-187635,PR000290,474.87,464.32,渠道1,APP,2025-01-03 13:09:24,2025-01-03 13:09:46,否,10.550000000000011,22.0,2025-01-03,13,Friday
781,sys-2025-425000138,user-218220,PR000556,665.28,665.28,渠道1,APP,2025-01-03 13:41:25,2025-01-03 13:43:53,是,0.0,148.0,2025-01-03,13,Friday
788,sys-2025-361588763,user-128816,PR000781,1112.19,1062.46,渠道1,APP,2025-01-03 13:47:36,2025-01-03 13:47:59,否,49.73000000000002,23.0,2025-01-03,13,Friday
789,sys-2025-424678743,user-239592,PR000615,2666.92,2613.21,渠道1,微信公众号,2025-01-03 13:48:25,2025-01-03 13:48:54,否,53.710000000000036,29.0,2025-01-03,13,Friday
813,sys-2025-332341700,user-298014,PR000236,194.45,194.45,渠道1,微信公众号,2025-01-03 14:33:24,2025-01-03 14:33:39,否,0.0,15.0,2025-01-03,14,Friday
863,sys-2025-370797365,user-182449,PR000202,325.88,263.92,渠道1,web网站,2025-01-03 18:09:53,2025-01-03 18:10:36,否,61.95999999999998,43.0,2025-01-03,18,Friday
867,sys-2025-350844455,user-189636,PR000653,1712.19,1643.13,渠道1,APP,2025-01-03 18:19:42,2025-01-03 18:20:00,否,69.05999999999995,18.0,2025-01-03,18,Friday
878,sys-2025-293245058,user-126484,PR000988,270.42,270.42,渠道1,微信公众号,2025-01-03 19:00:29,2025-01-03 19:00:48,否,0.0,19.0,2025-01-03,19,Friday
896,sys-2025-339610429,user-287392,PR000229,2700.36,2593.77,渠道1,微信公众号,2025-01-03 19:42:49,2025-01-03 19:43:07,否,106.59000000000015,18.0,2025-01-03,19,Friday
907,sys-2025-305253207,user-193604,PR000768,487.64,450.3,渠道1,APP,2025-01-03 20:12:38,2025-01-03 20:12:59,否,37.339999999999975,21.0,2025-01-03,20,Friday
909,sys-2025-269706654,user-195940,PR000768,482.96,432.84,渠道1,APP,2025-01-03 20:19:16,2025-01-03 20:19:27,否,50.120000000000005,11.0,2025-01-03,20,Friday
943,sys-2025-417776565,user-132664,PR000561,4239.81,4186.7,渠道1,微信公众号,2025-01-03 21:39:57,2025-01-03 21:40:13,否,53.11000000000058,16.0,2025-01-03,21,Friday
948,sys-2025-330077373,user-157726,PR000160,1082.98,1055.58,渠道1,APP,2025-01-03 22:14:59,2025-01-03 22:17:31,否,27.40000000000009,152.0,2025-01-03,22,Friday
949,sys-2025-306659103,user-102465,PR000026,359.64,359.64,渠道1,APP,2025-01-03 22:19:19,2025-01-03 22:21:42,否,0.0,143.0,2025-01-03,22,Friday
951,sys-2025-422238164,user-143039,PR000646,519.25,519.25,渠道1,APP,2025-01-03 22:24:11,2025-01-03 22:27:40,否,0.0,209.0,2025-01-03,22,Friday
980,sys-2025-329204726,user-152394,PR000614,321.8,321.8,渠道1,web网站,2025-01-04 07:36:09,2025-01-04 07:36:21,否,0.0,12.0,2025-01-04,7,Saturday
984,sys-2025-292499919,user-129641,PR000239,689.98,577.71,渠道1,微信公众号,2025-01-04 08:48:17,2025-01-04 08:48:37,是,112.26999999999998,20.0,2025-01-04,8,Saturday
987,sys-2025-329916929,user-137956,PR000407,202.51,173.76,渠道1,APP,2025-01-04 08:50:46,2025-01-04 08:51:29,否,28.75,43.0,2025-01-04,8,Saturday
992,sys-2025-375327936,user-177463,PR000930,2018.85,1894.91,渠道1,APP,2025-01-04 10:25:57,2025-01-04 14:48:34,否,123.93999999999983,15757.0,2025-01-04,10,Saturday
997,sys-2025-324125882,user-213277,PR000466,381.57,381.57,渠道1,APP,2025-01-04 10:37:09,2025-01-04 10:37:49,否,0.0,40.0,2025-01-04,10,Saturday
1025,sys-2025-335028403,user-253876,PR000880,560.26,296.89,渠道1,APP,2025-01-04 12:13:08,2025-01-04 12:13:45,否,263.37,37.0,2025-01-04,12,Saturday
1032,sys-2025-368820938,user-151628,PR000721,455.64,446.48,渠道1,APP,2025-01-04 12:41:48,2025-01-04 12:42:00,是,9.159999999999968,12.0,2025-01-04,12,Saturday
1038,sys-2025-375753540,user-213955,PR000888,90.93,76.84,渠道1,微信公众号,2025-01-04 12:57:55,2025-01-04 12:58:31,否,14.090000000000003,36.0,2025-01-04,12,Saturday
1080,sys-2025-351414897,user-298267,PR000403,621.86,578.97,渠道1,微信公众号,2025-01-04 13:40:13,2025-01-04 13:40:42,否,42.889999999999986,29.0,2025-01-04,13,Saturday
1103,sys-2025-430368005,user-181367,PR000469,906.08,906.08,渠道1,APP,2025-01-04 14:03:27,2025-01-04 14:03:48,否,0.0,21.0,2025-01-04,14,Saturday
1106,sys-2025-315857591,user-166568,PR000593,415.27,366.28,渠道1,微信公众号,2025-01-04 14:04:12,2025-01-04 14:04:29,否,48.99000000000001,17.0,2025-01-04,14,Saturday
1125,sys-2025-332981955,user-287615,PR000746,284.35,284.35,渠道1,APP,2025-01-04 14:31:46,2025-01-04 14:31:59,否,0.0,13.0,2025-01-04,14,Saturday
1142,sys-2025-396072949,user-179752,PR000588,592.82,558.07,渠道1,APP,2025-01-04 15:26:23,2025-01-04 15:26:38,否,34.75,15.0,2025-01-04,15,Saturday
1171,sys-2025-274999779,user-198859,PR000399,458.87,458.87,渠道1,APP,2025-01-04 17:10:49,2025-01-04 17:11:26,否,0.0,37.0,2025-01-04,17,Saturday
1173,sys-2025-318606466,user-198470,PR000912,1612.22,1590.25,渠道1,微信公众号,2025-01-04 17:47:57,2025-01-04 17:48:22,否,21.970000000000027,25.0,2025-01-04,17,Saturday
1175,sys-2025-379062660,user-182040,PR000326,1083.39,1062.36,渠道1,APP,2025-01-04 18:16:57,2025-01-04 22:38:30,否,21.0300000000002,15693.0,2025-01-04,18,Saturday
1182,sys-2025-330914209,user-232986,PR000340,8013.6,7976.58,渠道1,微信公众号,2025-01-04 18:40:33,2025-01-04 18:40:54,是,37.02000000000044,21.0,2025-01-04,18,Saturday
1184,sys-2025-343990745,user-181452,PR000275,1066.32,1066.32,渠道1,APP,2025-01-04 18:52:04,2025-01-04 18:52:23,否,0.0,19.0,2025-01-04,18,Saturday
1191,sys-2025-283543854,user-243707,PR000762,814.74,759.0,渠道1,APP,2025-01-04 19:18:16,2025-01-04 19:24:29,是,55.74000000000001,373.0,2025-01-04,19,Saturday
1262,sys-2025-360367213,user-144693,PR000444,1191.54,1145.51,渠道1,微信公众号,2025-01-04 22:05:29,2025-01-04 22:07:32,否,46.02999999999997,123.0,2025-01-04,22,Saturday
1296,sys-2025-356700288,user-118197,PR000721,956.01,873.39,渠道1,APP,2025-01-05 09:17:56,2025-01-05 09:18:13,否,82.62,17.0,2025-01-05,9,Sunday
1303,sys-2025-280453120,user-144875,PR000284,816.28,803.75,渠道1,APP,2025-01-05 09:49:52,2025-01-05 09:51:03,否,12.529999999999973,71.0,2025-01-05,9,Sunday
1304,sys-2025-390048960,user-224944,PR000838,274.23,263.06,渠道1,APP,2025-01-05 09:50:54,2025-01-05 09:52:07,否,11.170000000000016,73.0,2025-01-05,9,Sunday
1315,sys-2025-383572761,user-132736,PR000433,780.95,773.11,渠道1,微信公众号,2025-01-05 11:18:45,2025-01-05 11:19:02,否,7.840000000000032,17.0,2025-01-05,11,Sunday
1323,sys-2025-351571097,user-161462,PR000096,689.73,670.27,渠道1,APP,2025-01-05 11:52:54,2025-01-05 11:56:07,否,19.460000000000036,193.0,2025-01-05,11,Sunday
1344,sys-2025-386215364,user-284865,PR000739,558.93,484.48,渠道1,微信公众号,2025-01-05 12:39:59,2025-01-05 12:40:13,否,74.44999999999993,14.0,2025-01-05,12,Sunday
1353,sys-2025-350567246,user-249176,PR000541,315.68,315.68,渠道1,APP,2025-01-05 12:51:25,2025-01-05 12:51:51,否,0.0,26.0,2025-01-05,12,Sunday
1354,sys-2025-328069595,user-103327,PR000659,957.04,957.04,渠道1,APP,2025-01-05 12:52:28,2025-01-05 12:52:46,否,0.0,18.0,2025-01-05,12,Sunday
1356,sys-2025-306049167,user-149068,PR000775,361.78,305.73,渠道1,APP,2025-01-05 12:54:59,2025-01-05 12:55:33,否,56.049999999999955,34.0,2025-01-05,12,Sunday
1378,sys-2025-294400091,user-177076,PR000983,1128.89,1093.98,渠道1,微信公众号,2025-01-05 13:15:21,2025-01-05 13:15:38,否,34.91000000000008,17.0,2025-01-05,13,Sunday
1417,sys-2025-292121756,user-209826,PR000748,363.09,363.09,渠道1,APP,2025-01-05 14:10:07,2025-01-05 14:10:35,否,0.0,28.0,2025-01-05,14,Sunday
1424,sys-2025-347076801,user-111063,PR000334,3277.84,3096.21,渠道1,APP,2025-01-05 14:17:28,2025-01-05 14:21:37,否,181.6300000000001,249.0,2025-01-05,14,Sunday
1452,sys-2025-341021288,user-272727,PR000697,411.39,411.39,渠道1,APP,2025-01-05 15:07:44,2025-01-05 15:08:13,否,0.0,29.0,2025-01-05,15,Sunday
1457,sys-2025-279453929,user-252314,PR000041,140.67,140.67,渠道1,APP,2025-01-05 15:17:55,2025-01-05 15:18:11,是,0.0,16.0,2025-01-05,15,Sunday
1460,sys-2025-300519444,user-205693,PR000772,239.96,239.96,渠道1,微信公众号,2025-01-05 15:29:58,2025-01-05 15:30:14,否,0.0,16.0,2025-01-05,15,Sunday
1470,sys-2025-232890652,user-103907,PR000890,2341.91,2339.66,渠道1,微信公众号,2025-01-05 16:19:08,2025-01-05 16:19:25,是,2.25,17.0,2025-01-05,16,Sunday
1485,sys-2025-314739477,user-155853,PR000633,643.79,643.79,渠道1,微信公众号,2025-01-05 17:53:56,2025-01-05 17:57:16,是,0.0,200.0,2025-01-05,17,Sunday
1505,sys-2025-296087282,user-270781,PR000493,1191.32,1161.99,渠道1,微信公众号,2025-01-05 19:28:12,2025-01-05 19:29:38,否,29.329999999999927,86.0,2025-01-05,19,Sunday
1509,sys-2025-320191413,user-169796,PR000057,1155.38,1147.94,渠道1,APP,2025-01-05 19:34:01,2025-01-05 19:36:27,否,7.440000000000055,146.0,2025-01-05,19,Sunday
1518,sys-2025-321574434,user-277284,PR000237,2203.84,2183.26,渠道1,微信公众号,2025-01-05 19:57:58,2025-01-05 19:58:37,否,20.579999999999927,39.0,2025-01-05,19,Sunday
1538,sys-2025-241302577,user-101282,PR000375,1468.9,1393.03,渠道1,APP,2025-01-05 20:39:23,2025-01-05 20:39:41,否,75.87000000000012,18.0,2025-01-05,20,Sunday
1542,sys-2025-358105582,user-177607,PR000930,2742.35,2631.61,渠道1,APP,2025-01-05 21:03:27,2025-01-05 21:06:25,否,110.73999999999978,178.0,2025-01-05,21,Sunday
1550,sys-2025-394025988,user-119016,PR000188,1510.2,1495.95,渠道1,APP,2025-01-05 21:16:58,2025-01-05 21:17:45,否,14.25,47.0,2025-01-05,21,Sunday
1552,sys-2025-349864997,user-217975,PR000898,1876.23,1820.14,渠道1,APP,2025-01-05 21:19:46,2025-01-05 21:20:03,否,56.08999999999992,17.0,2025-01-05,21,Sunday
1588,sys-2025-384803277,user-144216,PR000639,719.99,709.81,渠道1,APP,2025-01-06 00:29:20,2025-01-06 00:29:38,否,10.180000000000064,18.0,2025-01-06,0,Monday
1626,sys-2025-308832071,user-167355,PR000109,907.64,883.75,渠道1,微信公众号,2025-01-06 12:12:18,2025-01-06 12:12:35,否,23.889999999999986,17.0,2025-01-06,12,Monday
1634,sys-2025-335395747,user-115503,PR000134,690.13,661.77,渠道1,APP,2025-01-06 12:36:02,2025-01-06 12:36:29,是,28.360000000000014,27.0,2025-01-06,12,Monday
1637,sys-2025-359372608,user-259247,PR000825,241.96,197.54,渠道1,APP,2025-01-06 12:41:25,2025-01-06 12:41:39,否,44.420000000000016,14.0,2025-01-06,12,Monday
1642,sys-2025-191601201,user-202190,PR000345,318.84,302.7,渠道1,微信公众号,2025-01-06 12:55:26,2025-01-06 12:56:44,否,16.139999999999986,78.0,2025-01-06,12,Monday
1647,sys-2025-311954897,user-215854,PR000232,564.23,555.59,渠道1,微信公众号,2025-01-06 13:08:16,2025-01-06 13:11:13,否,8.639999999999986,177.0,2025-01-06,13,Monday
1656,sys-2025-275122820,user-101254,PR000494,603.99,589.23,渠道1,微信公众号,2025-01-06 13:26:30,2025-01-06 13:26:50,否,14.759999999999991,20.0,2025-01-06,13,Monday
1664,sys-2025-342875843,user-164069,PR000498,343.78,312.53,渠道1,APP,2025-01-06 13:47:05,2025-01-06 13:47:26,是,31.25,21.0,2025-01-06,13,Monday
1694,sys-2025-316431400,user-268904,PR000993,828.62,731.47,渠道1,微信公众号,2025-01-06 14:57:20,2025-01-06 14:57:34,否,97.14999999999998,14.0,2025-01-06,14,Monday
1714,sys-2025-210954071,user-298257,PR000409,299.63,134.08,渠道1,微信公众号,2025-01-06 16:05:48,2025-01-06 16:06:13,否,165.54999999999998,25.0,2025-01-06,16,Monday
1725,sys-2025-378564868,user-171723,PR000291,602.31,527.96,渠道1,APP,2025-01-06 17:58:22,2025-01-06 17:58:54,否,74.34999999999991,32.0,2025-01-06,17,Monday
1736,sys-2025-341382529,user-288278,PR000122,5871.71,5767.91,渠道1,APP,2025-01-06 19:21:21,2025-01-06 19:29:14,是,103.80000000000018,473.0,2025-01-06,19,Monday
1738,sys-2025-367553566,user-108772,PR000520,1703.13,1703.13,渠道1,APP,2025-01-06 19:39:55,2025-01-06 19:40:12,否,0.0,17.0,2025-01-06,19,Monday
1748,sys-2025-270579993,user-182595,PR000146,120.14,75.09,渠道1,微信公众号,2025-01-06 20:24:10,2025-01-06 20:24:25,否,45.05,15.0,2025-01-06,20,Monday
1765,sys-2025-336484964,user-128423,PR000915,2092.65,2087.53,渠道1,微信公众号,2025-01-06 21:49:04,2025-01-06 21:49:23,否,5.119999999999891,19.0,2025-01-06,21,Monday
1788,sys-2025-344513958,user-130490,PR000436,269.52,269.52,渠道1,微信公众号,2025-01-07 11:36:36,2025-01-07 11:36:56,否,0.0,20.0,2025-01-07,11,Tuesday
1789,sys-2025-352268966,user-134253,PR000692,1795.52,1753.31,渠道1,微信公众号,2025-01-07 11:44:41,2025-01-07 11:44:55,否,42.210000000000036,14.0,2025-01-07,11,Tuesday
1791,sys-2025-411738972,user-111034,PR000883,211.18,211.18,渠道1,APP,2025-01-07 12:10:29,2025-01-07 12:14:39,是,0.0,250.0,2025-01-07,12,Tuesday
1806,sys-2025-393331402,user-176749,PR000777,281.69,281.69,渠道1,微信公众号,2025-01-07 13:34:27,2025-01-07 13:34:50,否,0.0,23.0,2025-01-07,13,Tuesday
1807,sys-2025-307299760,user-250736,PR000167,903.89,874.73,渠道1,微信公众号,2025-01-07 13:38:11,2025-01-07 13:54:36,否,29.159999999999968,985.0,2025-01-07,13,Tuesday
1811,sys-2025-299887232,user-119527,PR000348,464.58,335.59,渠道1,APP,2025-01-07 13:47:58,2025-01-07 13:48:18,否,128.99,20.0,2025-01-07,13,Tuesday
1822,sys-2025-337190992,user-223793,PR000419,121.67,11.81,渠道1,微信公众号,2025-01-07 14:32:31,2025-01-07 14:32:53,是,109.86,22.0,2025-01-07,14,Tuesday
1828,sys-2025-261627014,user-138380,PR000674,403.39,120.55,渠道1,APP,2025-01-07 14:56:27,2025-01-07 14:56:42,是,282.84,15.0,2025-01-07,14,Tuesday
1830,sys-2025-312871507,user-144595,PR000345,444.47,431.64,渠道1,APP,2025-01-07 14:59:29,2025-01-07 15:01:40,否,12.830000000000041,131.0,2025-01-07,14,Tuesday
1832,sys-2025-310533134,user-292091,PR000945,513.47,421.28,渠道1,微信公众号,2025-01-07 15:04:37,2025-01-07 15:04:53,否,92.19000000000005,16.0,2025-01-07,15,Tuesday
1841,sys-2025-335539013,user-262591,PR000005,593.59,481.67,渠道1,APP,2025-01-07 16:09:40,2025-01-07 16:10:16,是,111.92000000000002,36.0,2025-01-07,16,Tuesday
1874,sys-2025-356915443,user-171623,PR000648,670.3,670.3,渠道1,APP,2025-01-07 20:01:49,2025-01-07 20:02:09,否,0.0,20.0,2025-01-07,20,Tuesday
1875,sys-2025-304901419,user-126765,PR000345,2448.96,2372.78,渠道1,微信公众号,2025-01-07 20:02:01,2025-01-07 20:02:26,否,76.17999999999984,25.0,2025-01-07,20,Tuesday
1900,sys-2025-343993774,user-101454,PR000050,4268.61,4247.49,渠道1,微信公众号,2025-01-07 21:16:25,2025-01-07 21:17:26,是,21.11999999999989,61.0,2025-01-07,21,Tuesday
1907,sys-2025-345407823,user-188784,PR000433,1859.96,1808.91,渠道1,微信公众号,2025-01-07 22:13:54,2025-01-07 22:14:12,否,51.049999999999955,18.0,2025-01-07,22,Tuesday
1916,sys-2025-288093531,user-184227,PR000735,1233.4,1233.4,渠道1,微信公众号,2025-01-07 22:53:18,2025-01-07 22:53:33,否,0.0,15.0,2025-01-07,22,Tuesday
1918,sys-2025-309759708,user-242183,PR000066,2117.43,2073.72,渠道1,APP,2025-01-07 23:02:35,2025-01-07 23:02:55,否,43.710000000000036,20.0,2025-01-07,23,Tuesday
1940,sys-2025-295691633,user-162986,PR000433,600.2,530.95,渠道1,微信公众号,2025-01-08 10:31:21,2025-01-08 10:31:52,否,69.25,31.0,2025-01-08,10,Wednesday
1956,sys-2025-428857409,user-106250,PR000813,514.75,464.2,渠道1,web网站,2025-01-08 12:07:45,2025-01-08 12:07:58,否,50.55000000000001,13.0,2025-01-08,12,Wednesday
1969,sys-2025-360244294,user-282294,PR000535,1046.57,1040.07,渠道1,APP,2025-01-08 12:51:48,2025-01-08 12:52:19,否,6.5,31.0,2025-01-08,12,Wednesday
